Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
2111,83f,"EMSAL HU ADM","D","Hutchinson Admin","EMS-Talk","Allina Transportation"
2112,840,"RV EMS NORTH","D","North Dispatch","EMS Dispatch","Ridgeview Ambulance Service"
2113,841,"RV EMS STWD","D","Statewide","EMS-Talk","Ridgeview Ambulance Service"
2114,842,"RV EMS SOUTH","D","South Dispatch","EMS Dispatch","Ridgeview Ambulance Service"
2115,843,"LL3 FLT-A","D","LifeLink III Inflight A","EMS Dispatch","Life Link III - Air Medical Service"
2116,844,"RV EMS ADMIN","D","Administration","EMS-Talk","Ridgeview Ambulance Service"
2117,845,"LL3 Duluth","D","LL3 Dispatch Duluth","EMS Dispatch","Life Link III - Air Medical Service"
2118,846,"RV EMS EVENT","D","Event","EMS-Tac","Ridgeview Ambulance Service"
2119,847,"LL3 Alexandria","D","LL3 Dispatch Alexandria","EMS Dispatch","Life Link III - Air Medical Service"
2121,849,"LL3 Anoka","D","LL3 Dispatch Anoka","EMS Dispatch","Life Link III - Air Medical Service"
2122,84a,"212 MED CTR","D","Two Twelve Medical Center Patient Information","Hospital","Metro EMS - Medical Control"
2123,84b,"LL3 Willmar","D","LL3 Dispatch Willmar","EMS Dispatch","Life Link III - Air Medical Service"
2125,84d,"LL3 Hibbing","D","LL3 Dispatch Hibbing","EMS Dispatch","Life Link III - Air Medical Service"
2127,84f,"LL3 FLT-B","D","LifeLink III Inflight B","EMS Dispatch","Life Link III - Air Medical Service"
2128,850,"LL3 Det Lakes","D","LL3 Detroit Lakes","EMS Dispatch","Life Link III - Air Medical Service"
2129,851,"EMSAL RIVERFLS","D","River Falls Dispatch","EMS Dispatch","Allina Transportation"
2130,852,"HCMC DWNTWN","D","HCMC DOWNTOWN","EMS Dispatch","Hennepin County Medical Center EMS"
2131,853,"HCMC TAC1","D","HCMC EMS Tactical 1","EMS-Tac","Hennepin County Medical Center EMS"
2132,854,"HCMC 2 BIZ","D","HCMC Ch 2 Business","EMS-Tac","Hennepin County Medical Center EMS"
2133,855,"HCMC TAC 2","D","HCMC EMS Tactical 2","EMS-Tac","Hennepin County Medical Center EMS"
2134,856,"HCMC EVENT","D","HCMC Events","EMS-Tac","Hennepin County Medical Center EMS"
2135,857,"HCMC TAC 3","D","HCMC EMS Tactical 3","EMS-Tac","Hennepin County Medical Center EMS"
2136,858,"HCMC CHIEFS","D","HCMC Supervisors ","EMS-Tac","Hennepin County Medical Center EMS"
2137,859,"HCMC TAC 4","D","HCMC EMS Tactical 4","EMS-Tac","Hennepin County Medical Center EMS"
2138,85a,"HCMC ADMIN","D","HCMC Administration","EMS-Tac","Hennepin County Medical Center EMS"
2139,85b,"HCMC SUBURB","D","HCMC EMS Suburban","EMS Dispatch","Hennepin County Medical Center EMS"
2140,85c,"WEMS MRCC 2","D","West MRCC 2","Hospital","Metro EMS - Hospital - EMS Interop"
2142,85e,"WEMS MRCC","D","West MRCC Main","Hospital","Metro EMS - Hospital - EMS Interop"
2144,860,"WMRCC XP1","D","West MRCC Cross Patch 1","Hospital","Statewide Interoperability "
2145,861,"LL3 MRCC Coord","D","LifeLink III MRCC Coordination","EMS-Talk","Life Link III - Air Medical Service"
2146,862,"WMRCC XP2","D","West MRCC Cross Patch 2","Hospital","Statewide Interoperability "
2147,863,"LL3 MECMO","D","LL3 U of MN ECMO Dispatch","EMS Dispatch","Life Link III - Air Medical Service"
2149,865,"LL3 Rush City","D","LL3 Dispatch Rush City","EMS Dispatch","Life Link III - Air Medical Service"
2150,866,"EMS MET CORD","D","CHD Metro Region Coordination","Hospital","Metro EMS - Hospital - EMS Interop"
2152,868,"ABT NW HOSP","D","Abbott Northwestern Hospital","Hospital","Metro EMS - Medical Control"
2153,869,"LL3 Brainerd Dis","D","LL3 Dispatch Brainerd","EMS Dispatch","Life Link III - Air Medical Service"
2154,86a,"CHILD HOSP","D","Minneapolis Children's Hospital","Hospital","Metro EMS - Medical Control"
2156,86c,"EMHHC_PI","D","Hennepin County Medical Center","Hospital","Metro EMS - Medical Control"
2158,86e,"EMHMC_PI","D","Mercy Hospital","Hospital","Metro EMS - Medical Control"
2160,870,"METHD HOSP","D","Methodist Hospital","Hospital","Metro EMS - Medical Control"
2162,872,"N MEM MED C","D","North Memorial Medical Center","Hospital","Metro EMS - Medical Control"
2164,874,"UMMC WEST BK","D","University of Minnesota Medical Center West Bank","Hospital","Metro EMS - Medical Control"
2166,876,"EMHRV_PI","D","Ridgeview Medical Center","Hospital","Metro EMS - Medical Control"
2168,878,"FRV SDL MED ","D","Fairview Southdale Medical Center","Hospital","Metro EMS - Medical Control"
2170,87a,"ST FRAN HOSP","D","St. Francis Regional Medical Center","Hospital","Metro EMS - Medical Control"
2172,87c,"UMMC EAST BK","D","University of Minnesota Medical Center East Bank","Hospital","Metro EMS - Medical Control"
2174,87e,"UNITY HOSP","D","Unity Medical Center","Hospital","Metro EMS - Medical Control"
2176,880,"MPLS VET CTR","D","Minneapolis Veteran Affairs Medical Center","Hospital","Metro EMS - Medical Control"
2178,882,"ST JOSP HOSP","D","St. Joseph's Hospital","Hospital","Metro EMS - Medical Control"
2180,884,"ST JOHN HOSP","D","St. John's Hospital","Hospital","Metro EMS - Medical Control"
2182,886,"LKVW MED CTR","D","Lakeview Medical Center","Hospital","Metro EMS - Medical Control"
2184,888,"RGNA MED CTR","D","Regina Medical Center","Hospital","Metro EMS - Medical Control"
2186,88a,"F RDGS MED C","D","Ridges Medical Center","Hospital","Metro EMS - Medical Control"
2188,88c,"RGNS HOSP","D","Regions Hospital","Hospital","Metro EMS - Medical Control"
2190,88e,"UNITED HOSP","D","United Hospital","Hospital","Metro EMS - Medical Control"
2192,890,"WDWNDS HOSP","D","Woodwinds Hospital","Hospital","Metro EMS - Medical Control"
2196,894,"MPL GRV HOSP","D","Maple Grove Hospital","Hospital","Metro EMS - Medical Control"
2198,896,"MPL GRV HOSP","D","Maple Grove Hospital","Hospital","Metro EMS - Medical Control"
2200,898,"EMH PRINCTN","D","Princeton Hospital - Health Fairview Northland Medical Center","Hospital","Central Minnesota EMS Hailing "
2204,89c,"NMEM MED CTR","D","North Memorial Medical Center","Hospital","Metro EMS - Medical Control"
2208,8a0,"RGVW MED CTR","D","Ridgeview Medical Center","Hospital","Metro EMS - Medical Control"
2210,8a2,"FVW SDL HOSP","D","Fairview Southdale Hospital","Hospital","Metro EMS - Medical Control"
2224,8b0,"LKVW MED CTR","D","Lakeview Medical Center","Hospital","Metro EMS - Medical Control"
2236,8bc,"EMH CALL","D","EMH Calling","Hospital","Metro EMS - Hospital - EMS Interop"
2238,8be,"EMH COMM 1","D","EMH Comm 1","Hospital","Metro EMS - Hospital - EMS Interop"
2240,8c0,"EMH COMM 2","D","EMH Comm 2","Hospital","Metro EMS - Hospital - EMS Interop"
2250,8ca,"EMS_CHD","D","CHD","Hospital","Metro EMS - Hospital - EMS Interop"
2251,8cb,"EMSALNF DISP","D","Northfield Ambulance Dispatach ","EMS Dispatch","Northfield EMS"
2252,8cc,"STAC 9","D","Statewide Tactical 9","Interop","Statewide Interoperability "
2254,8ce,"STAC 10","D","Statewide Tactical 10","Interop","Statewide Interoperability "
2256,8d0,"STAC 11","D","Statewide Tactical 11","Interop","Statewide Interoperability "
2258,8d2,"STAC 12","D","Statewide Tactical 12","Interop","Statewide Interoperability "
2260,8d4,"WEST MET SUP","D","West Metro EMS Supervisors","EMS-Tac","Metro EMS - Hospital - EMS Interop"
2262,8d6,"EMSAL ALL","D","Dispatch All Call","EMS Dispatch","Allina Transportation"
2264,8d8,"EMSAL ALS SOUTH","D","Dispatch South","EMS Dispatch","Allina Transportation"
2265,8d9,"EMS AL-TAC 7","D","Allina Health EMS Tactical 7","EMS-Tac","Allina Transportation"
2266,8da,"EMSAL ALW","D","Wright County ALS Dispatch","EMS Dispatch","Allina Transportation"
2267,8db,"EMS AL-TAC 8","D","Allina Health EMS Tactical 8","EMS-Tac","Allina Transportation"
2268,8dc,"EMSNF-MAIN","D","EMS Primary Dispatch","EMS Dispatch","Northfield EMS"
2269,8dd,"EMSNF-EMS","D","EMS Truck to Truck","EMS-Talk","Northfield EMS"
2270,8de,"EMS AL-TAC 4","D","Allina Health EMS Tactical 4","EMS-Tac","Allina Transportation"
2271,8df,"EMSAL W/C","D","Washington County","EMS-Talk","Allina Transportation"
2272,8e0,"CMBMED PI","D","CAMBRIDGE ER PI","Hospital","Metro EMS - Medical Control"
2274,8e2,"EMSAL BUS 2","D","Business 2","EMS-Talk","Allina Transportation"
2280,8e8,"EMH COMM 3","D","EMH Comm 3","Hospital","Metro EMS - Hospital - EMS Interop"
2282,8ea,"EMH COMM 4","D","EMH Comm 4","Hospital","Metro EMS - Hospital - EMS Interop"
2286,8ee,"LR EMS OPS","D","EMS Operations","EMS-Tac","Lakes Region EMS"
2288,8f0,"FRV LKS HOSP","D","Fairview Lakes Medical Center","Hospital","Metro EMS - Medical Control"
2290,8f2,"NRTHFLD PI","D","Northfield ER PI","Hospital","Metro EMS - Medical Control"
2295,8f7,"EMSHE-EV1","D","M Health Fairview Events 1","EMS-Tac","M Health Fairview"
2296,8f8,"EMSHE-ALS","D","M Health Fairview ALS Dispatch","EMS Dispatch","M Health Fairview"
2297,8f9,"EMSHE-EV2","D","M Health Fairview Events 2","EMS-Tac","M Health Fairview"
2298,8fa,"EMSHE-BLS","D","M Health Fairview BLS Dispatch","EMS Dispatch","M Health Fairview"
2299,8fb,"EMSHE-ADMIN","D","M Health Fairview Admin","EMS-Talk","M Health Fairview"
2300,8fc,"EMSHE-OPS1","D","M Health Fairview Ops 1","EMS-Tac","M Health Fairview"
2301,8fd,"EMSHE-OPS3","D","M Health Fairview Ops 3","EMS-Tac","M Health Fairview"
2302,8fe,"EMSHE-MK","D","M Health Fairview Med Kab","EMS-Tac","M Health Fairview"
2303,8ff,"EMSHE-OPS4","D","M Health Fairview Ops 4","EMS-Tac","M Health Fairview"
2304,900,"EMSHE-OPS2","D","M Health Fairview Ops 2","EMS-Tac","M Health Fairview"
2305,901,"EMSHE-N-MAIN","D","M Health Fairview North","EMS Dispatch","M Health Fairview"
2306,902,"EMMRCMAIN","D","East MRCC Main","Hospital","Metro EMS - Hospital - EMS Interop"
2310,906,"LVIEW EMS 1","D","Lakeview EMS 1","EMS Dispatch","Lakeview EMS"
2312,908,"LVIEW ADMIN","D","Lakeview EMS Administration","EMS-Talk","Lakeview EMS"
2314,90a,"LVIEW EMS 3","D","Lakeview EMS 3","EMS-Tac","Lakeview EMS"
2318,90e,"EMS_COORD","D","EMS Coordination","EMS-Talk","Metro EMS - Hospital - EMS Interop"
2320,910,"LR EMS TK","D","Truck to Truck","EMS-Talk","Lakes Region EMS"
2326,916,"EMSAL EOC","D","Emergency Operations Centers","EMS-Talk","Allina Transportation"
2328,918,"EMSAL EOC T1","D","EOC Tactical 1","EMS-Tac","Allina Transportation"
2330,91a,"EMSAL EOC T2","D","EOC Tactical 2","EMS-Tac","Allina Transportation"
2332,91c,"EMH MC","D","New River Hospital	Centra Care Hospital - Monticello","Hospital","Central Minnesota EMS Hailing "
2334,91e,"EMSCC TAC 1","D","CentraCare EMS Tac 1","EMS-Tac","CentraCare EMS"
2336,920,"ST MRCC CALL","D","EMS Patient Information Statewide MRCC Calling","Hospital","Statewide Interoperability "
2338,922,"212 MED CTR","D","Two Twelve Medical Center","Hospital","Metro EMS - Medical Control"
2342,926,"UM AMPLATZ","D","University of Minnesota Amplatz Children's Hospital","Hospital","Metro EMS - Medical Control"
2344,928,"EMH SED","D","Statewide Emergency Department","Hospital","Statewide Interoperability "
2346,92a,"EMS ST CR DI","D","St. Croix Valley EMS Dispatch","EMS Dispatch","Lakes Region EMS"
2350,92e,"EMSHE-SW","D","M Health Fairview Statewide","EMS Dispatch","M Health Fairview"
2351,92f,"EMSHE-NFLD 1","D","M Health Fairview Northfield Ch 1","EMS Dispatch","M Health Fairview"
2352,930,"EMSHE-NFLD 2","D","M Health Fairview Northfield Ch 2","EMS-Tac","M Health Fairview"
2465,9a1,"LR EMS DISP","D","Dispatch","EMS Dispatch","Lakes Region EMS"
2467,9a3,"EMS ESS DL DISP","D","Detroit Lakes Dispatch ","EMS Dispatch","Essentia Health Ambulance"
2473,9a9,"EMS AL-TAC 5","D","Allina Health EMS Tactical 5","EMS-Tac","Allina Transportation"
2475,9ab,"EMS AL-TAC 6","D","Allina Health EMS Tactical 6","EMS-Tac","Allina Transportation"
2476,9ac,"EMSALNF-ADMIN","D","Northfield EMS Admin","EMS-Talk","Northfield EMS"
2500,9c4,"MTC BUS 00","D","Bus Operations 2500","Transportation","Twin Cities Metro Transit - Buses"
2502,9c6,"MTC BUS 02","D","Bus Operations 2502","Transportation","Twin Cities Metro Transit - Buses"
2504,9c8,"MTC BUS 04","D","Bus Operations 2504","Transportation","Twin Cities Metro Transit - Buses"
2506,9ca,"MTC ALL CALL","D","Bus Operations All Call","Transportation","Twin Cities Metro Transit - Buses"
2508,9cc,"MTC BUS 1","D","Bus TG 1","Transportation","Twin Cities Metro Transit - Buses"
2510,9ce,"MTC BUS 2","D","Bus TG 2","Transportation","Twin Cities Metro Transit - Buses"
2512,9d0,"MTC BUS 3","D","Bus TG 3","Transportation","Twin Cities Metro Transit - Buses"
2514,9d2,"MTC BUS 4","D","Bus TG 4","Transportation","Twin Cities Metro Transit - Buses"
2516,9d4,"MTC BUS 5","D","Bus TG 5","Transportation","Twin Cities Metro Transit - Buses"
2518,9d6,"MTC BUS 6","D","Bus TG 6","Transportation","Twin Cities Metro Transit - Buses"
2520,9d8,"MTC BUS 7","D","Bus TG 7","Transportation","Twin Cities Metro Transit - Buses"
2522,9da,"MTC BUS 8","D","Bus TG 8","Transportation","Twin Cities Metro Transit - Buses"
2524,9dc,"MTC BUS 9","D","Bus TG 9","Transportation","Twin Cities Metro Transit - Buses"
2526,9de,"MTC SUPV","D","Bus Supervisor","Transportation","Twin Cities Metro Transit - Buses"
2528,9e0,"MTC SUPV C2C","D","Bus Supervisor Car to Car","Transportation","Twin Cities Metro Transit - Buses"
2530,9e2,"MTC SUPV TAC","D","Supervisors Tactical","Transportation","Twin Cities Metro Transit - Buses"
2532,9e4,"MTC PD DISPW","D","Transit Police Dispatch - West","Law Dispatch","Twin Cities Metro Transit - Buses"
2534,9e6,"MTC PD C2C","DE","Police Car to Car","Law Talk","Twin Cities Metro Transit - Buses"
2536,9e8,"MTC PD TAC 1","D","Police Tactical 1","Law Tac","Twin Cities Metro Transit - Buses"
2538,9ea,"MTC PD TAC 2","D","Police Tactical 2 - Data","Law Tac","Twin Cities Metro Transit - Buses"
2540,9ec,"MTC PD DISPE","D","Transit Police Dispatch - East","Law Dispatch","Twin Cities Metro Transit - Buses"
2542,9ee,"MTC COMMON","D","Transit Common","Transportation","Twin Cities Metro Transit - Buses"
2546,9f2,"MTC MAINT NS","D","Maint Nicollet Shop","Transportation","Twin Cities Metro Transit - Buses"
2548,9f4,"MTC MAINT MP","D","Maint Downtown Mpls Shop","Transportation","Twin Cities Metro Transit - Buses"
2550,9f6,"MTC MAINT BP","D","Maint Brooklyn Park Shop","Transportation","Twin Cities Metro Transit - Buses"
2552,9f8,"MTC MAINT 52","D","Maintenance 2552","Transportation","Twin Cities Metro Transit - Buses"
2554,9fa,"MTC MAINT 54","D","Maintenance 2554","Transportation","Twin Cities Metro Transit - Buses"
2556,9fc,"MTC FAIR SHP","D","Metro Transit State Fair Shop","Transportation","Twin Cities Metro Transit - Buses"
2558,9fe,"MTC STP SHOP","D","Metro Transit St Paul Shop","Transportation","Twin Cities Metro Transit - Buses"
2562,a02,"MTC BUS 2562","D","Bus 2562","Transportation","Twin Cities Metro Transit - Buses"
2564,a04,"MTC MAINT AL","D","Maintenance All Call","Transportation","Twin Cities Metro Transit - Buses"
2566,a06,"MTC FLB MPLS","D","Radio Fallback Minneapolis","Transportation","Twin Cities Metro Transit - Buses"
2568,a08,"MTC FLB","D","Radio Fallback","Transportation","Twin Cities Metro Transit - Buses"
2570,a0a,"MTC FLB BCTR","D","Radio Fallback Brooklyn Center","Transportation","Twin Cities Metro Transit - Buses"
2572,a0c,"MTC FLB STPL","D","Radio Fallback St Paul","Transportation","Twin Cities Metro Transit - Buses"
2574,a0e,"MTC 2574","D","Bus 2574","Transportation","Twin Cities Metro Transit - Buses"
2576,a10,"MTC BUS 13","D","Bus TG 13","Transportation","Twin Cities Metro Transit - Buses"
2578,a12,"MTC BUS 2578","D","Bus 2578","Transportation","Twin Cities Metro Transit - Buses"
2580,a14,"MTC BUS 2580","D","Bus 2580","Transportation","Twin Cities Metro Transit - Buses"
2700,a8c,"CV ANOUNCE","D","Carver Announcement ","Multi-Dispatch","Carver County"
2702,a8e,"CVSO COM 1","D","Carver County Sheriff Info Traffic","Law Dispatch","Carver County"
2704,a90,"CVSO COM 2","D","Carver County Sheriff Info Traffic Overflow","Law Dispatch","Carver County"
2706,a92,"CVSO C2C E","D","Sheriff East Car-to-Car","Law Talk","Carver County"
2708,a94,"CVSO C2C W","D","Sheriff West Car-to-Car","Law Talk","Carver County"
2710,a96,"CV LAW COM","D","Carver Common Law Enforcement","Law Tac","Carver County"
2712,a98,"CV LE ALL","D","Carver County Law Enforcement All","Law Tac","Carver County"
2716,a9c,"CV FIRE MAIN","D","Carver County Fire Main","Fire Dispatch","Carver County"
2718,a9e,"CV FG 1","D","Carver Fireground 1","Fire-Tac","Carver County"
2720,aa0,"CV FG 2","D","Carver Fireground 2","Fire-Tac","Carver County"
2722,aa2,"CV FG 3","D","Carver Fireground 3","Fire-Tac","Carver County"
2724,aa4,"CV FG 4","D","Carver Fireground 4","Fire-Tac","Carver County"
2726,aa6,"CV FG 5","D","Carver Fireground 5","Fire-Tac","Carver County"
2728,aa8,"CV FG 6","D","Carver Fireground 6","Fire-Tac","Carver County"
2730,aaa,"CV FIRE ALL","D","Carver Fire All","Fire-Tac","Carver County"
2732,aac,"CV FD MA 1","D","Carver County Fire MA 1","Fire-Tac","Carver County"
2734,aae,"CV FD MA 2","D","Carver County Fire MA 2","Fire-Tac","Carver County"
2736,ab0,"CVCVR FDADM","D","Carver City Fire Administration","Fire-Talk","Carver County"
2738,ab2,"CHAN FD ADM","D","Chanhassen Fire Administration","Fire-Talk","Carver County"
2740,ab4,"CSKA FD ADM","D","Chaska Fire Administration","Fire-Talk","Carver County"
2742,ab6,"CLGN FD ADM","D","Cologne Fire Administration","Fire-Talk","Carver County"
2744,ab8,"HAMB FD ADM","D","Hamburg Fire Administration","Fire-Talk","Carver County"
2746,aba,"MAYR FD ADM","D","Mayer Fire Administration","Fire-Talk","Carver County"
2748,abc,"NGER FD ADM","D","New Germany Fire Administration","Fire-Talk","Carver County"
2750,abe,"NR YA FD ADM","D","Norwood Young America Fire Administration","Fire-Talk","Carver County"
2752,ac0,"VCTR FD ADM","D","Victoria Fire Administration","Fire-Talk","Carver County"
2754,ac2,"WCNA FD ADM","D","Waconia Fire Administration","Fire-Talk","Carver County"
2756,ac4,"WTWN FD ADM","D","Watertown Fire Administration","Fire-Talk","Carver County"
2758,ac6,"CV FD ROAM","D","Fire Subsystem Roaming","Fire Dispatch","Carver County"
2760,ac8,"CVPWMAIN","D","Carver County PW Highway Dept - Main","Public Works","Carver County"
2762,aca,"CVPWENG2","D","Carver County PW Highway Dept - Engineers","Public Works","Carver County"
2764,acc,"CVPWSUR3","D","Carver County PW Highway Dept - Surveyors","Public Works","Carver County"
2766,ace,"CVPWPRK4","D","Carver County PW Highway Dept - Parks","Public Works","Carver County"
2768,ad0,"CVPWMNT5","D","Carver County PW Highway Dept - Maintenance","Public Works","Carver County"
2770,ad2,"CVPWMNT6","D","Carver County PW Highway Dept - Maintenance","Public Works","Carver County"
2772,ad4,"CVPW7","D","Carver County PW Highway Dept","Public Works","Carver County"
2774,ad6,"CVPW8","D","Carver County PW Highway Dept","Public Works","Carver County"
2778,ada,"CHAN WORKS","D","Chanhassen Fire Public Works","Public Works","Carver County"
2780,adc,"CSKA WORKS","D","Chaska Public Works","Public Works","Carver County"
2782,ade,"CLGN WORKS","D","Cologne Public Works","Public Works","Carver County"
2784,ae0,"HAMB WORKS","D","Hamburg Public Works","Public Works","Carver County"
2786,ae2,"MAYR WORKS","D","Mayer Public Works","Public Works","Carver County"
2788,ae4,"NGER WORKS","D","New Germany Public Works","Public Works","Carver County"
2790,ae6,"VCTR FD OP2","D","Victoria Fire Ops 2","Fire-Tac","Carver County"
2792,ae8,"WCNA WORKS","D","Waconia Public Works","Public Works","Carver County"
2794,aea,"WTWN WORKS","D","Watertown Public Works","Public Works","Carver County"
2796,aec,"NRYA WORKS","D","Norwood Young America City Public Works","Public Works","Carver County"
2798,aee,"LKTN WORKS","D","Laketown Public Works","Public Works","Carver County"
2800,af0,"CVPWCOMN","D","Carver County Countywide Public Works Mutual Aid","Public Works","Carver County"
2802,af2,"CVPW ROAM","D","Carver County Public Works Subsystem Roaming","Public Works","Carver County"
2804,af4,"CVCART","D","Carver County Buses","Transportation","Carver County"
2806,af6,"CVROAM","D","Carver Public Service Roaming Talkgroup","Multi-Dispatch","Carver County"
2808,af8,"CV FD-LE","D","Carver County Fire/LE Shared","Multi-Tac","Carver County"
2810,afa,"CV PW-LE","D","Carver County PW/PS Shared","Multi-Tac","Carver County"
2812,afc,"CVENRMGT","D","Carver County Emergency Management","Emergency Ops","Carver County"
2814,afe,"CVWEATHER","D","Carver County Severe Weather Coordination","Emergency Ops","Carver County"
2816,b00,"CV EMS","D","Carver Countywide EMS","EMS-Tac","Carver County"
2818,b02,"CV TRAIN","D","Carver County Countywide Training","Multi-Talk","Carver County"
2822,b06,"CV CWIDE 1","D","Carver Countywide 1","Multi-Talk","Carver County"
2824,b08,"CV CWIDE 2","D","Carver Countywide 2","Multi-Talk","Carver County"
2828,b0c,"CV-LAW-1E","DE","Law 1E Main","Law Dispatch","Carver County"
2848,b20,"CVSO TAC 1","D","Carver County Sheriff TAC 1","Law Tac","Carver County"
2858,b2a,"CV FIRE ADM","D","Fire Administration","Fire-Talk","Carver County"
2872,b38,"CSKA PD C2C","D","Chaska Police Car-Car","Law Talk","Carver County"
2882,b42,"CSKA PD EVNT","D","Chaska Police Events","Law Talk","Carver County"
2886,b46,"CVSO TAC 2","D","Carver County Sheriff TAC 2","Law Tac","Carver County"
2894,b4e,"CVLAW TAC","DE","Carver Law TAC","Law Tac","Carver County"
2896,b50,"CVLAW TAC","DE","Carver Law TAC","Law Tac","Carver County"
2898,b52,"CVSO TAC 3","D","Carver County Sheriff TAC 3","Law Tac","Carver County"
2900,b54,"MPLS 911","D","MECC Emergency Access","Emergency Ops","Hennepin County - Minneapolis"
2902,b56,"MPLS STREETS","D","Streets","Public Works","Hennepin County - Minneapolis"
2904,b58,"MPLS WATER","D","Water/Sewer","Utilities","Hennepin County - Minneapolis"
2906,b5a,"MPLS ANIMAL","D","Animal Control","Public Works","Hennepin County - Minneapolis"
2908,b5c,"MPLS DPW","D","Dump Trucks","Public Works","Hennepin County - Minneapolis"
2910,b5e,"MPLS SANI 1","D","Sanitation","Public Works","Hennepin County - Minneapolis"
2912,b60,"MPLS ADM","D","City Administration","Public Works","Hennepin County - Minneapolis"
2914,b62,"MPLS SANI 2","D","Sanitation","Public Works","Hennepin County - Minneapolis"
2916,b64,"MPLS SEWER 1","D","Public Works Sewer 1","Utilities","Hennepin County - Minneapolis"
2918,b66,"MPLS SEWER 2","D","Public Works Sewer 2","Utilities","Hennepin County - Minneapolis"
2920,b68,"MPLS PW TECH","D","Public Works Technicians","Public Works","Hennepin County - Minneapolis"
2926,b6e,"MPLS CH SEC","D","City Hall Security","Security","Hennepin County - Minneapolis"
2928,b70,"MPLS COMMON","D","City Common","Public Works","Hennepin County - Minneapolis"
2930,b72,"MPLS SANI","D","Sanitation","Public Works","Hennepin County - Minneapolis"
2960,b90,"MPLS PD 4","D","Police 4 - Overflow/Events","Law Dispatch","Hennepin County - Minneapolis"
2962,b92,"MPLS PD 5 CC","D","Police 5 - Car to Car","Law Tac","Hennepin County - Minneapolis"
2964,b94,"MPLS PD 6 TR","D","Police 6 - Traffic Control/Parking","Law Tac","Hennepin County - Minneapolis"
2966,b96,"MPLS PD 7 RC","D","Police 7 - Records/Warrants","Law Tac","Hennepin County - Minneapolis"
2968,b98,"MPLS PD 8","D","Police 8","Law Tac","Hennepin County - Minneapolis"
2970,b9a,"MPLS PD 9 EV","D","Police 9 - Events","Law Tac","Hennepin County - Minneapolis"
2972,b9c,"MPLS PD 10 CC","D","Police 10 - Car to Car","Law Tac","Hennepin County - Minneapolis"
2974,b9e,"MPLS PD 11","D","Police 11","Law Tac","Hennepin County - Minneapolis"
2982,ba6,"MPLS PD 2982","DE","Police 2982","Law Tac","Hennepin County - Minneapolis"
2984,ba8,"MPLS PD PARK","D","Park Police","Law Dispatch","Hennepin County - Minneapolis"
2986,baa,"MPPD-2E","DE","Police 2E Dispatch","Law Dispatch","Hennepin County - Minneapolis"
2988,bac,"MPPD-3E","DE","Police 3E Dispatch","Law Dispatch","Hennepin County - Minneapolis"
2990,bae,"MPLS PD 2990","DE","Police 2990","Law Tac","Hennepin County - Minneapolis"
2994,bb2,"MPLS PD 2994","DE","Police 2994","Law Tac","Hennepin County - Minneapolis"
2996,bb4,"MPLS PD 2996","DE","Police 2996","Law Tac","Hennepin County - Minneapolis"
3002,bba,"MPLS PD 3002","DE","Police 3002","Law Tac","Hennepin County - Minneapolis"
3008,bc0,"MPPD-ECOM1","DE","Police E Comm 1","Law Tac","Hennepin County - Minneapolis"
3014,bc6,"MPPD-1E","DE","Police 1E Dispatch","Law Dispatch","Hennepin County - Minneapolis"
3016,bc8,"MPLS FD 1","D","Fire Dispatch","Fire Dispatch","Hennepin County - Minneapolis"
3018,bca,"MPLS FD 2","D","Fire Tac 2 Mobiles Only","Fire-Tac","Hennepin County - Minneapolis"
3020,bcc,"MPLS FD 3","D","Fire Tac 3","Fire-Tac","Hennepin County - Minneapolis"
3022,bce,"MPLS FD 4","D","Fire Tac 4","Fire-Tac","Hennepin County - Minneapolis"
3024,bd0,"MPLS FD 5","D","Fire Tac 5","Fire-Tac","Hennepin County - Minneapolis"
3026,bd2,"MPLS FD 6","D","Fire Tac 6","Fire-Tac","Hennepin County - Minneapolis"
3028,bd4,"MPLS FD 7","D","Fire Tac 7","Fire-Tac","Hennepin County - Minneapolis"
3030,bd6,"MPLS FD 8","D","Fire Tac 8 Fire Prevention","Fire-Tac","Hennepin County - Minneapolis"
3032,bd8,"MPLS FD 9","D","Fire Tac 9 Training","Fire-Tac","Hennepin County - Minneapolis"
3034,bda,"MPLS FD 10","D","Fire Truck to Truck","Fire-Tac","Hennepin County - Minneapolis"
3036,bdc,"MPLS FD 11","D","Fire Truck to Truck","Fire-Tac","Hennepin County - Minneapolis"
3040,be0,"MPLS FD SEC","DE","Fire Secure","Fire-Talk","Hennepin County - Minneapolis"
3042,be2,"MPLS FD ALL","D","Fire All Call","Fire-Tac","Hennepin County - Minneapolis"
3044,be4,"MPLS PD ALL","D","Police All Call","Law Tac","Hennepin County - Minneapolis"
3046,be6,"MPLS FD ADM","D","Fire Admin","Fire-Tac","Hennepin County - Minneapolis"
3054,bee,"MPLS WTR","D","Minneapolis Water Dept","Utilities","Hennepin County - Minneapolis"
3056,bf0,"MPLS ELECT","D","Minneapolis  Election Polling Comms","Public Works","Hennepin County - Minneapolis"
3058,bf2,"MPLS SCH SEC","D","Minneapolis Schools Security","Schools","Hennepin County - Minneapolis"
3060,bf4,"MPLS PD SFZN","D","Police Downtown Safezone Security","Law Tac","Hennepin County - Minneapolis"
3068,bfc,"HC Election HQ","D","Election HQ","Public Works","Hennepin County"
