Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
24748,60ac,"Albany Pub Wrks","D","Albany Public Works","Public Works","Stearns County"
24752,60b0,"ALBNY PD ADM","D","Albany Police Admin","Law Tac","Stearns County"
24754,60b2,"AVON FIRE","D","Avon Fire Dept","Fire-Tac","Stearns County"
24762,60ba,"AVON PD ADM","D","Avon Police Admin","Law Tac","Stearns County"
24778,60ca,"CLWTR RESCUE","D","Clearwater Rescue","Fire-Tac","Stearns County"
24780,60cc,"ST MARTN FDR","D","St. Martin Fire and Rescue","Fire-Tac","Stearns County"
24782,60ce,"Frprt FD Adm","D","Freeport Fire Administration","Fire-Talk","Stearns County"
24784,60d0,"HOLDFRD FD","D","Holdingford Fire","Fire-Tac","Stearns County"
24786,60d2,"LK HENRY FD","D","Lake Henry Fire Dept","Fire-Tac","Stearns County"
24788,60d4,"N MUNICH FDR","D","New Munich Fire Rescue","Fire-Tac","Stearns County"
24792,60d8,"ELROSA FDR","D","Elrosa Fire Rescue","Fire-Tac","Stearns County"
24794,60da,"UPSALA FIRE","D","Upsala Fire Dept","Fire-Tac","Stearns County"
24798,60de,"ST JAIL INTAKE","D","Stearns Jail Intake","Corrections","Stearns County"
24804,60e4,"ST PANIC ALM","D","Stearns County Panic Alarm","Fire-Tac","Stearns County"
24806,60e6,"ST COURT","D","Stearns County Court Security","Security","Stearns County"
24808,60e8,"ST JAIL","D","Stearns County Jail","Corrections","Stearns County"
24810,60ea,"ST LE CAMP","D","Stearns County Campus/County Grounds Deputies","Law Talk","Stearns County"
24812,60ec,"ST EMRG","D","Stearns Emergency Button","Multi-Dispatch","Stearns County"
24814,60ee,"ST HWY SCLD","D","Stearns County Highway Dept - St Cloud District","Public Works","Stearns County"
24816,60f0,"ST HWY NORTH","D","Stearns County Highway Dept - North District","Public Works","Stearns County"
24822,60f6,"STRN FIRE DI","D","County Fire Dispatch Main","Fire Dispatch","Stearns County"
24824,60f8,"WTPK FIRE B","D","Waite Park Fire Dept Tac","Fire-Tac","Stearns County"
24826,60fa,"SARTEL FIRE","D","Sartell Fire Dept Tac","Fire-Tac","Stearns County"
24832,6100,"ST E MGMT","D","Emergency Management","Emergency Ops","Stearns County"
24834,6102,"ST 6","D","ST-6","Multi-Tac","Stearns County"
24836,6104,"ST 7","D","ST-7","Multi-Tac","Stearns County"
24838,6106,"ST 8","D","ST-8","Multi-Tac","Stearns County"
24854,6116,"ST AGST FD A","D","St Augusta Fire","Fire-Tac","Stearns County"
24856,6118,"ST AGST FD B","D","St Augusta Fire Tac","Fire-Tac","Stearns County"
24870,6126,"SKRP WORKS 2","D","Sauk Rapids Public Works","Public Works","Benton County"
24878,612e,"ST HWY","D","Highway Dept","Public Works","Stearns County"
24880,6130,"SC PD OP8","D","St. Cloud Police Ops 5","Law Tac","Stearns County - St. Cloud"
24882,6132,"EMSMM-LCH-AM","D","Meeker County Patient Update","Hospital","Mayo Clinic Medical Transport"
24884,6134,"EMSMM-CMOPS1","D","Central Region Operations 1","EMS-Tac","Mayo Clinic Medical Transport"
24886,6136,"EMSMM-LFS-AM","D","Mayo - Patient Update","EMS-Tac","Morrison County"
24888,6138,"SC HOSP SEC","D","St Cloud Hospital Security","Security","Stearns County - St. Cloud"
24889,6139,"SC HOSP ADMN","D","St Cloud Hospital Admin (Centra Care)","Hospital","Stearns County - St. Cloud"
