Output Freq,Input Freq,Offset,Uplink Tone,Downlink Tone,Call,Location,County,State,Modes,Digital Access
224.66,223.06,-,114.8,CSQ,K0FCC,Columbia Heights,Anoka,Minnesota,FM EchoLink ,
224.64,223.04,-,CSQ,,KA0PQW,Ellendale,Steele,Minnesota,FM EchoLink ,
224.54,222.94,-,100,,W0BU,Burnsville ,Dakota,Minnesota,FM ,
224.52,226.12,+,,,N0KP,Saint Peter,Nicollet,Minnesota,FM ,
224.5,222.9,-,114.8,,K0FCC,Columbia Heights,Anoka,Minnesota,FM ,
224.24,222.64,-,146.2,,N0FWG,Rassat,Wright,Minnesota,FM ,
224.08,222.48,-,225.7,,N0VCE,Dalton,Otter Tail,Minnesota,FM ,
223.98,222.38,-,114.8,114.8,KF0ES,Roseville,Ramsey,Minnesota,FM ,
223.94,225.54,+,,,N0BZZ,Duluth,St Louis,Minnesota,FM ,
223.94,222.34,-,100,,KA0PQW,Arden Hills,Ramsey,Minnesota,FM ,
223.9,222.3,-,100,CSQ,KE0NA,Falcon Heights - UMN,Ramsey,Minnesota,FM ,
147.39,147.99,+,,,K0NLC,Emmaville - Camp Wilderness BSA Camp,Hubbard,Minnesota,FM ,
147.39,147.99,+,,,WA0VFY,East Grand Forks,Polk,Minnesota,FM ,
147.375,147.975,+,146.2,,KB0WJP,Hutchinson,McLeod,Minnesota,FM EchoLink ,
147.375,147.975,+,,,N0EO,Duluth,St Louis,Minnesota,DSTAR ,
147.36,147.96,+,123,,WB0WTI,Thief River Falls,Pennington,Minnesota,FM ,
147.36,147.96,+,141.3,141.3,W0DRK,Fulda,Murray,Minnesota,FM Fusion ,
147.36,147.96,+,141.3,141.3,W0DRK,Fulda,Murray,Minnesota,FM ,
147.36,147.96,+,136.5,136.5,KD0ZSA,Dennison,Goodhue,Minnesota,FM ,
147.36,147.96,+,162.2,,N0BZZ,Cook,St Louis,Minnesota,FM ,
147.36,147.96,+,203.5,,N0BZZ,Aitkin,Aitkin,Minnesota,FM ,
147.345,147.945,+,123,123,W0BJI,Kelliher,Beltrami,Minnesota,FM ,
147.345,147.945,+,D172,D172,KD0YLG,Becker - Excel Energy Power Plant,Sherburne,Minnesota,FM AllStar EchoLink IRLP Fusion ,
147.33,147.93,+,,,N0WN,Sebeka - Water Tower,Wadena,Minnesota,FM EchoLink ,
147.33,147.93,+,151.4,,N0BZZ,Proctor,St Louis,Minnesota,FM ,
147.33,147.93,+,136.5,136.5,N0PBA,Mankato,Blue Earth,Minnesota,FM P-25 ,293
147.33,147.93,+,103.5,,N0BZZ,Duluth,St Louis,Minnesota,FM ,
147.315,147.915,+,91.5,91.5,K0GOI,North Branch,Chisago,Minnesota,FM ,
147.315,147.915,+,123,123,N0MHO,Grygla,Beltrami,Minnesota,FM AllStar EchoLink ,
147.3,147.9,+,136.5,136.5,AA0RW,Red Wing,Goodhue,Minnesota,FM ,
147.3,147.9,+,,,K0GUV,Park Rapids,Hubbard,Minnesota,FM ,
147.3,147.9,+,146.2,146.2,K0MCR,Litchfield,Meeker,Minnesota,FM ,
147.3,147.9,+,114.8,,KB0QYC,Isabella,Lake,Minnesota,FM ,
147.285,147.885,+,123,,K0QIK,Fergus Falls,Otter Tail,Minnesota,FM ,
147.27,147.87,+,103.5,,WB0DGK,Two Harbors,Lake,Minnesota,FM ,
147.27,147.87,+,114.8,,WB0ZKB,Minneapolis,Hennepin,Minnesota,FM ,
147.27,147.87,+,123,123,W0BJI,Lengby,Polk,Minnesota,FM ,
147.27,147.87,+,,,KD0JOS,Chaska,Carver,Minnesota,DSTAR ,
147.255,147.855,+,141.3,141.3,W0DRK,Windom,Cottonwood,Minnesota,FM ,
147.255,147.855,+,,,W0ALX,Sauk Centre,Stearns,Minnesota,FM ,
147.255,147.855,+,100,,KD0EBO,Rochester,Olmsted,Minnesota,FM EchoLink ,
147.24,147.84,+,146.2,146.2,KD0CI,Ogilvie,Kanabec,Minnesota,FM ,
147.24,147.84,+,136.5,,W0WCL,Mankato,Blue Earth,Minnesota,FM IRLP P-25 ,555
147.24,147.84,+,156.7,,N0BZZ,Aurora,St Louis,Minnesota,FM ,
147.225,147.825,+,141.3,141.3,NY0I,Granite Falls - US-212 Overlook,Chippewa,Minnesota,FM ,
147.225,147.825,+,141.3,,W0UJ,Crosby,Crow Wing,Minnesota,FM Fusion ,
147.21,147.81,+,100,100,W0BU,Burnsville,Dakota,Minnesota,FM ,
147.21,147.81,+,123,,N0MHO,Angle Inlet,Lake of the Woods,Minnesota,FM ,
147.195,147.795,+,151.4,151.4,K0VRC,Ely - Water Tower,St Louis,Minnesota,FM EchoLink Fusion WIRES-X ,
147.195,147.795,+,,,W0EMZ,Detroit Lakes,Becker,Minnesota,FM ,
147.18,147.78,+,103.5,,KA0TMW,Duluth,St Louis,Minnesota,FM ,
147.18,147.78,+,74.4,74.4,W0CGM,Cottage Grove,Washington,Minnesota,FM ,
147.18,147.78,+,82.5,82.5,WA0IUJ,Bemidji,Beltrami,Minnesota,FM ,
147.165,147.765,+,114.8,,KB0QYC,Coleraine,Itasca,Minnesota,FM ,
147.165,147.765,+,107.2,107.2,WB0RMK,Carver - Water Tower,Carver,Minnesota,FM ,
147.15,147.75,+,141.3,141.3,W0DRK,Tracy,Murray,Minnesota,FM ,
147.15,147.75,+,114.8,114.8,W0YC,Saint Paul,Ramsey,Minnesota,FM ,
147.15,147.75,+,123,CSQ,K0QIK,Perham,Otter Tail,Minnesota,FM ,
147.15,147.75,+,151.4,,NT0B,Gilbert - Water Tower,St Louis,Minnesota,FM Fusion ,
147.135,147.735,+,100,,N0ANE,Saint Peter,Nicollet,Minnesota,FM Fusion ,
147.135,147.735,+,123,,W0REA,Little Falls,Morrison,Minnesota,FM ,
